"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2023","15,487.8","15,374.9","15,514.9","15,374.9","","0.73%"
"03/31/2023","15,374.9","15,200.6","15,377.0","15,200.6","","1.15%"
"03/30/2023","15,200.6","15,124.0","15,254.8","15,124.0","","0.51%"
"03/29/2023","15,124.0","14,949.3","15,128.8","14,949.3","","1.17%"
"03/28/2023","14,949.3","14,894.8","14,987.0","14,892.2","","0.37%"
"03/27/2023","14,894.8","14,758.6","14,955.7","14,758.6","","0.92%"
"03/24/2023","14,758.6","14,693.0","14,770.8","14,514.6","","0.45%"
"03/23/2023","14,693.0","14,741.1","14,937.9","14,598.3","","-0.33%"
"03/22/2023","14,741.1","14,986.0","15,076.1","14,740.2","","-1.63%"
"03/21/2023","14,986.0","14,777.7","15,010.6","14,777.7","","1.41%"
"03/20/2023","14,777.7","14,599.0","14,817.2","14,599.0","","1.22%"
"03/17/2023","14,599.0","14,831.0","14,831.0","14,560.4","","-1.56%"
"03/16/2023","14,831.0","14,662.5","14,859.3","14,506.6","","1.15%"
"03/15/2023","14,662.5","14,944.7","14,944.7","14,471.1","","-1.89%"
"03/14/2023","14,944.7","14,764.4","15,044.6","14,764.4","","1.22%"
"03/13/2023","14,764.4","14,894.2","14,949.4","14,645.5","","-0.87%"
"03/10/2023","14,894.2","15,140.8","15,164.1","14,830.9","","-1.63%"
"03/09/2023","15,140.8","15,440.6","15,497.4","15,112.9","","-1.94%"
"03/08/2023","15,440.6","15,439.0","15,496.9","15,367.5","","0.01%"
"03/07/2023","15,439.0","15,694.3","15,694.3","15,413.5","","-1.63%"
"03/06/2023","15,694.3","15,721.1","15,772.7","15,672.1","","-0.17%"
"03/03/2023","15,721.1","15,524.5","15,732.7","15,524.5","","1.27%"
"03/02/2023","15,524.5","15,436.3","15,555.1","15,342.7","","0.57%"
"03/01/2023","15,436.3","15,429.0","15,477.9","15,378.1","","0.05%"
